AlbumId,AlbumName,AlbumReleaseDate,,,
0K4pIOOsfJ9lK8OjrZfXzd,25,6/24/16,,,
7uwTHXmFa1Ebi5flqBosig,25,11/20/15,,,
1azUkThwd2HfUDdeNeT147,21,1/19/11,,,
1cCEfOTFdaZo0POsxE5SkM,21,1/19/11,,,
4wVhV76GBumlcoIm6b1ZgO,21,1/19/11,,,
7n3QJc7TBOxXtlYh4Ssll8,21,1/19/11,,,
5VN0zLpsF5QD62XYuvXOio,19,1/28/08,,,
6Pb3K1oPXdhsqFXtzKe3Z1,19,1/28/08,,,
2YO1F9DHVEzXPriA1JHoOQ,19,1/28/08,,,
5dMFj05ajH6i9BlbpvaqWW,19,1/28/08,,,
1nbMMdt6wb16OSPF81yBuT,Hymns,2/12/16,,,
2QbMmK54PQkFnjn81RwQ2f,Hymns,2/12/16,,,
4aA4EXLcUHlJxA36CclY5H,Country Classics: A Tapestry Of Our Musical Heritage,10/27/14,,,
3hne73hMfZUct5HivkFSub,Country Classics: A Tapestry Of Our Musical Heritage,10/27/14,,,
5htTh7mNMVRHUhaakvsPXQ,Made to Last,10/8/13,,,
7LuwAUfjEBg2D9DsVJEsiP,Joey+Rory Inspired,1/1/13,,,
5hfiEU7Jp16DFGDocxigjQ,Joey+Rory Inspired,1/1/13,,,
15gaHMxK5LeJxQ9IfdHkjg,His and Hers,7/27/12,,,
6zSIXWkbsPo58MGALjiCi1,A Farmhouse Christmas,10/7/11,,,
060SRIzI2qqCL0rj6rWDid,A Farmhouse Christmas,11/11/11,,,
2JI9D11fvVvPSVdmuqIPPF,GoGo Twerk,7/5/15,,,
1Ma97gWDJYZTXMyCqst1Ou,Meneame,7/5/15,,,
6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),11/13/15,,,
7fZH0aUAjY3ay25obOUf2a,Purpose (Deluxe),11/13/15,,,
3jJ5HhbOC2KB5fOZ2RgJTo,Purpose (Deluxe),11/13/15,,,
1rknZw4cyL9NInAqSwc8AA,Journals,5/13/14,,,
4EM61F6YchleNX2t2VENbF,Journals,5/13/14,,,
7Cz0XcQzoxUi7L7sfgXLml,Journals,5/13/14,,,
4yz9rO7Q1UC2rK5eLOxmS7,Believe Acoustic,1/1/13,,,
26nw4YpeAe1ZbJMAhD5gk5,Believe Acoustic,1/1/13,,,
1RMfz6rbIyrQYChfcCoiJ4,Believe Acoustic,1/1/13,,,
6eknhm96vRigjwfcl49xKb,Believe,1/1/12,,,
52ebVctCB7lkPrcFvfymZJ,On My Mind,5/25/15,,,
2wTtUHba6JJ9lkuJRAoTXl,21st Century,5/5/14,,,
71fm7jFrt56JtJAREybJVx,Friday to Friday,7/7/14,,,
5OPihnNTIpRpu0l5E9cgUI,Es ist keiner wie du,6/2/14,,,
63xecsGXFNWrOZG3d6HIeX,Stir Fry: the Hottest Tracks of 2017,7/28/17,,,
1mgwlCOGYqF1Uce1BFREb6,"In the Name of Techno, Vol. 1",6/30/17,,,
51irooZfGmVGFLc6RFuuXP,Techno-Trance Visions 2017,5/5/17,,,
2bClfY1yiHKpXqK9baw5RU,Deep House Flash 2017,1/18/17,,,
7wAxCdDMLx18VXFzehGjSS,Kazan Deeper 2017,1/16/17,,,
4rLTDjLaeuN8mH9EUuhaOC,Deep House of Germany: Dresden 2017,1/2/17,,,
6De0uTqKw2KMGDzidbCPhS,EVERYBODY,9/22/17,,,
7BYmCd8JAOHpIiHIDJwDW0,Buy Me A Boat,10/30/15,,,
74iBw9kqdS7CihWL5zLPIP,Outlaw Ways,7/24/15,,,
6sAHtElvOhT0UQzTII618a,Buy Me A Boat,4/23/15,,,
0VwpFO2Bk1BDwZvGC8uQCo,Tomahawk,10/15/13,,,
2wS2TydwjbUAQ4g0NpSGeB,Chris Janson EP,2013,,,
0B5yTNG86nnk9sr9BnMC1V,Cut Me Some Slack,8/13/13,,,
16hChhoGEaKVuXQuipgBp9,'Til a Woman Comes Along,4/5/10,,,
5sG25Lr3DT004KFJKujPe3,Take It to the Bank (EP),2/24/14,,,
5Op1XAAMSYEE8H9c0MLKyG,Country Heat 2018,10/27/17,,,
1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),11/13/15,,,
4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),11/17/14,,,
3XTK1sQfPaaTwQvsO0o5mY,Midnight Memories,11/25/13,,,
7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe),11/25/13,,,
1BTF8r9zpGVuymP6QBC3r9,Take Me Home: Special Deluxe Edition,5/22/13,,,
6l7RpHJcIxG3UcA4ITTC2e,Take Me Home,11/12/12,,,
5SxEsi1PNyo1XfEKDYcFKF,Take Me Home: Yearbook Edition,11/9/12,,,
6cunQQ7YZisYOoiFu2ywIq,Up All Night,5/25/12,,,
3Cq8bOhMlOAoY9zCHPicwr,Up All Night,8/8/12,,,
7qfrZ8W7EbA3Hm5TqrkMtX,Up All Night,5/25/12,,,
1lXY618HWkwYKJWBRYR4MK,More Life,3/18/17,,,
7Ix0FS4f1lK42C3rix5rHg,More Life,3/18/17,,,
4dvkEfxroInqojJWP06R2V,More Life,3/18/17,,,
39f5gvkMRpkxbCF5hhHwGI,More Life,3/18/17,,,
3hARKC8cinq3mZLLAEaBh9,Views,5/6/16,,,
40GMAhriYJRO1rsY4YdrZb,Views,5/6/16,,,
0G1ffjfFuTUTVjDrVdLimH,Views,5/13/16,,,
2yIwhsIWGRQzGQdn1czSK0,Views,5/6/16,,,
2e42oY2oFArkkTENT8UVXD,Views,5/6/16,,,
5Eh3UJQnR3SRcYAuNTlj2s,Views,5/13/16,,,
3Zuipf1PBcdnfKFyj6asOo,Storyteller,10/14/16,,,
17YFk6uZVlDMmgFm8kpn5T,Storyteller,10/14/16,,,
4q3SkZWPYJtKno1RbnrjL4,Storyteller,10/23/15,,,
3TqvvuCMcTpSjFvAToQT8A,Greatest Hits: Decade #1,12/9/14,,,
1gWvFhUoJnRyjhtDPdjBRa,Greatest Hits: Decade #1- Stories Behind the Songs,12/8/14,,,
6OESFWVrMqPiwyw0ovliWx,Blown Away,6/15/12,,,
7r7R96LJmdM1qxkqx1G3UJ,Blown Away,7/25/12,,,
7atJn49QvtOLiFxhQd2hp9,Blown Away,5/1/12,,,
0IX44RmWbPmQsTl9ugZfb5,Blown Away (Track by Track),5/1/12,,,
3iLrVuA1k7onNmZTuUQH4u,Play On,2009,,,
3T4tUhGYeRNVUGevb0wThu,Ìá (Deluxe),3/3/17,,,
2hyDesSAYNefikDJXlqhPE,5,6/23/14,,,
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),6/21/14,,,
0Yi8StK0Si3u2bLr3Qsm2Q,x (Wembley Edition),2013,,,
3hA2oZbZwHU8tSPBFIZhFr,x (Wembley Edition),2013,,,
6NoBzYmh5gUusGPCfg0pct,x (Wembley Edition),2013,,,
0MeOIA0wwSa6nW79jy8QcZ,x (Wembley Edition),11/13/15,,,
4JUtnlZKdLr01xEIymhm0G,Live At The Bedford,12/9/11,,,
3QbPtoOWiJqZurXXxJwaOD,Loose Change,12/9/11,,,
1slAnKc9Ykyght8EI9Y0dM,+,9/9/11,,,
4fW1sFeE43nuZlAw2xtmC3,reputation,11/10/17,,,
6DEjYFkNZh67HP7R9PSZvv,reputation,11/10/17,,,
5fy0X0JmZRZnVa2UEicIOl,1989,1/1/14,,,
4uUAUqIfSomFTbbjGp3TYp,1989,10/27/14,,,
6w36pmMA5bxECalu5rxQAw,1989,10/27/14,,,
2QJmrSgbdM35R67eoGQo4j,1989,10/27/14,,,
7N3xz2HFNVH5BEkm8ZVmoR,Taylor Swift Karaoke: 1989 (Deluxe),10/27/14,,,
0L3oaZUj3loxosjvugCLGG,Taylor Swift Karaoke: 1989 (Deluxe Edition),10/27/14,,,
3Gz5YBn8lox5fINfq6cZjD,Taylor Swift Karaoke: 1989 (Deluxe),10/27/14,,,
0bEySlRAkuPxV9KVWhXXBr,Taylor Swift Karaoke: 1989 (Deluxe),2/1/15,,,
4BJo0RpI0LsgnvrCVYzj66,Blessed Are Those,11/4/16,,,
5VzIMyaJ0yFCpKqaHXL95E,Between the Roses (Deluxe Edition),6/18/15,,,
6WPVQcMdHKjgfSx1JCAvNr,Between the Roses,1/22/15,,,
0hLB9oeHYfyfhuYDrdFxlN,Heaven Is Hell,8/31/13,,,
4Epgg8XM2bxmNTYwz411eS,Someone Else (Acoustic),11/3/17,,,
47F86oM4JmgTQTUsJAv0So,I Will Follow You into the Dark,10/13/17,,,
2TF1jx7jY4JN1AF4Bci5vI,I Didn't Know,10/18/16,,,
5ft3bfEcQ3r4F39HkFzzxO,The Space Between Our Eyes,10/4/16,,,
6IBUysehfEoSeguA5UfFVL,Scars (Revived),5/6/16,,,
4FUBOXGOWkBLiZSOrBNrKl,Darling,10/23/15,,,
5ngFWcqWAIO19chggDAmbX,Revival,10/9/15,,,
4jb0GVfgTAocjD2O6z7xDK,Revival,10/9/15,,,
4REHLEx40BZGxjfBmw6NzG,Revival,1/22/16,,,
3qsdWsIePeTOvpsRJV5yQB,Revival,1/22/16,,,
75NQVwUzR8KSPwwjpsIDJ2,Revival (Deluxe),10/9/15,,,
3Kbuu2tHsIbplFUkB7a5oE,Revival (Deluxe),10/9/15,,,
7lDBDk8OQarV5dBMu3qrdz,Revival (Deluxe),10/9/15,,,
3NkZqXMTPlFgbgvifgrhLN,For You,11/21/14,,,
78GeZ5IA1KSbI0MiR4bAhH,For You,11/24/14,,,
0QldCw51bjMvjxGjpEET1h,Stars Dance,9/25/13,,,
3zak0kNLcOY5vFcB3Ipskp,Heartbreak on a Full Moon,10/31/17,,,
3PlMjZnwN5bDJeFRPXfTxf,Heartbreak on a Full Moon,10/31/17,,,
1cHEUbSTZOGlyJHhhwCVyv,Royalty (Japan Version),12/23/15,,,
0VWmEVuQ8tA5iA3cCTrgxa,Royalty (Deluxe Version),12/18/15,,,
2tusoaat8EktdWSaqB0AMx,Royalty (Deluxe Version),12/18/15,,,
4neocSMt40stXKK2B8Sy2G,Fan of A Fan The Album (Deluxe Version),2/20/15,,,
1khyspcWlSCiWTeJ0dyBan,Fan of A Fan The Album (Deluxe Version),2/20/15,,,
3LByoNjO4gbuX5D0u26LDY,X (Japan Version),10/1/14,,,
7pDheFV6PHhw4DHR5GGhG1,X,9/17/14,,,
3YENWkFXmWw9ay3yYSAM4Y,X,9/17/14,,,
069EZ0hrshtiggPZovta7Z,The Pinkprint (Deluxe Edition),12/15/14,,,
5qs8T6ZHSrnllnOuUk6muC,The Pinkprint (Deluxe Edition),12/15/14,,,
5v46BbWAvOpzkfsLDFQvxW,The Pinkprint (Deluxe Edition),12/15/14,,,
