ArtistId,ArtistTitle,ArtistDescription,,
4dpARuHxo51G3z768sgnrY,Adele,dance pop pop post-teen pop ,,
31Esw1yHgJZBPcRa4nUyTP,Joey + Rory,contemporary country country country christmas country dawn country road ,,
5DMdVqSQ0KOfCRPL7fRU4Z,Draaco Aventura,,,
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,canadian pop dance pop pop pop christmas post-teen pop ,,
0f4LCYJ0RohOZ4mnVBX6gO,Peer Van Mladen,,,
60gmlHZmT16wiO9GiXKYK9,Chris Janson,contemporary country country country road lift kit modern country rock redneck ,,
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,boy band dance pop pop post-teen pop talent show ,,
3TVXtAsR1Inumwj472S9r4,Drake,canadian pop hip hop pop rap rap ,,
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,contemporary country country country christmas country dawn country road dance pop neo mellow pop pop christmas post-teen pop ,,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop ,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,dance pop pop pop christmas post-teen pop ,,
6nKQmcReKxJx1vUt9g25j6,SayWeCanFly,pixie pop emo ,,
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,dance pop pop post-teen pop ,,
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,dance pop pop pop christmas pop rap r&b rap soul christmas ,,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,dance pop hip pop pop pop rap rap ,,
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,dance pop pop post-teen pop talent show ,,
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,contemporary country country road ,,
7dGJo4pcD2V6oG8kP0tJRR,Eminem,detroit hip hop g funk hip hop pop rap rap ,,
6vWDO969PvNqNYHIOW5v0m,BeyoncÌ©,dance pop pop pop rap post-teen pop r&b ,,
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,dance pop hip pop pop post-teen pop r&b ,,
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,modern rock pop punk ,,
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,dance pop dwn trap hip hop pop rap rap southern hip hop trap music ,,
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,pop pop punk post-teen pop teen pop viral pop ,,
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,contemporary country country country road modern country rock ,,
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,contemporary country country country christmas country road modern country rock ,,
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,contemporary country country country christmas country road modern country rock pop christmas ,,
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,dance pop pop pop christmas r&b soul christmas urban contemporary ,,
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,christmas rock rock-and-roll rockabilly ,,
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,dance pop pop pop christmas post-teen pop ,,
1YRMEvqCJPbxbBTpnvDyla,J.D. Shelburne,,,
55Aa2cqylxrFIXC767Z865,Lil Wayne,hip hop pop christmas pop rap rap trap music ,,
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,dance pop pop pop christmas post-teen pop ,,
04gDigrS5kc9YWfZHwBETP,Maroon 5,dance pop pop pop christmas ,,
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,contemporary country ,,
5vngPClqofybhPERIqQMYd,George Strait,contemporary country country country christmas country road ,,
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,pop rap rap southern hip hop trap music ,,
